City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Mount Gambier,AU,76.64,scattered clouds,-37.8333,140.7667,The Commodore
18,Bonthe,SL,79.79,few clouds,7.5264,-12.505,Bonthe Holiday Village
21,Moron,AR,82.29,scattered clouds,-34.6534,-58.6198,Hotel Morón
27,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
28,Kavieng,PG,83.55,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
31,Vaini,TO,78.96,light intensity shower rain,-21.2,-175.2,Keleti Beach Resort
32,Butaritari,KI,81.46,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
40,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
50,Rikitea,PF,78.1,overcast clouds,-23.1203,-134.9692,People ThankYou
51,Lorengau,PG,83.14,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
53,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
57,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
60,Bontang,ID,78.42,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
74,Nabire,ID,80.26,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
76,Ambulu,ID,78.22,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
77,Mayumba,GA,76.78,overcast clouds,-3.432,10.6554,LIKWALE LODGE
81,Hobyo,SO,76.6,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
82,Trinidad,BO,75.79,overcast clouds,-14.8333,-64.9,Hotel Piesta
85,Cabo San Lucas,MX,76.3,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
88,Hithadhoo,MV,81.37,few clouds,-0.6,73.0833,Scoop Guest House
89,Hilo,US,80.33,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
90,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
91,Mahibadhoo,MV,81.05,broken clouds,3.7833,72.9667,Omadhoo Inn
102,Dingle,PH,77.85,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
104,Souillac,MU,76.35,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
114,Roebourne,AU,85.8,light rain,-20.7833,117.1333,Latitude20 Roebourne Village
124,Bubaque,GW,79.45,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
126,Port Lincoln,AU,82.99,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
127,Bintulu,MY,77.41,scattered clouds,3.1667,113.0333,900 Boutique INN
134,Bambous Virieux,MU,76.21,broken clouds,-20.3428,57.7575,Casa Tia Villa
135,Tecoanapa,MX,80.71,overcast clouds,16.5167,-98.75,Hotel Manglares
140,Kuching,MY,75.42,scattered clouds,1.55,110.3333,The Ranee Boutique Suites
149,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
158,Bacolod,PH,79.36,scattered clouds,10.6667,122.95,Planta Hotel & Residences
161,Progreso,MX,82.51,few clouds,21.2833,-89.6667,Playa Linda Hotel
164,Grand Baie,MU,76.44,broken clouds,-20.0182,57.5802,Trou aux Biches Beachcomber Golf Resort & Spa
169,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
179,Gemena,CD,76.98,broken clouds,3.25,19.7667,Hôtel Goshen
180,Labuhan,ID,80.04,overcast clouds,-6.8844,112.2051,DoubleFAG
181,Wahiawa,US,77.79,few clouds,21.5028,-158.0236,Aloha Wahiawa
193,Port Macquarie,AU,81.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
194,Tual,ID,82.53,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
200,Honiara,SB,86.86,overcast clouds,-9.4333,159.95,Heritage Park Hotel
204,Puerto Carreno,CO,82.26,broken clouds,6.189,-67.4859,Casa Hotel Victoria
207,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
210,Puerto Escondido,MX,81.43,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
212,Oranjestad,AW,77.92,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
215,Popondetta,PG,88.0,overcast clouds,-8.7537,148.2534,Timos Transit House
223,Touros,BR,79.7,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
227,Tame,CO,75.83,broken clouds,6.461,-71.73,Hospedaje Santa Ana
236,Buenos Aires,AR,82.29,clear sky,-34.6132,-58.3772,Hotel NH Buenos Aires City
238,Port Blair,IN,78.06,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
239,Kiunga,PG,83.64,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
241,Atuona,PF,79.03,scattered clouds,-9.8,-139.0333,Villa Enata
250,Geraldton,AU,77.41,clear sky,-28.7667,114.6,Broadwater Mariner Resort
251,Guanare,VE,84.22,broken clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
257,Maunabo,PR,78.64,broken clouds,18.0072,-65.8993,Maunacaribe
259,Santiago Del Estero,AR,88.81,few clouds,-27.7951,-64.2615,Apartamentos Castelli 90
